Salina_Count,Metrics,Sub Metric,Year,Smoke_Estimate,AQI
24508,INDUSTRY,Civilian employed population 16 years and over,2011,1.759056604850123,26.842567207284947
185,INDUSTRY,"Agriculture, forestry, fishing and hunting, and mining",2011,1.759056604850123,26.842567207284947
1199,INDUSTRY,Construction,2011,1.759056604850123,26.842567207284947
4507,INDUSTRY,Manufacturing,2011,1.759056604850123,26.842567207284947
722,INDUSTRY,Wholesale trade,2011,1.759056604850123,26.842567207284947
3054,INDUSTRY,Retail trade,2011,1.759056604850123,26.842567207284947
891,INDUSTRY,"Transportation and warehousing, and utilities",2011,1.759056604850123,26.842567207284947
507,INDUSTRY,Information,2011,1.759056604850123,26.842567207284947
1262,INDUSTRY,"Finance and insurance, and real estate and rental and leasing",2011,1.759056604850123,26.842567207284947
1979,INDUSTRY,"Professional, scientific, and management, and administrative and waste management services",2011,1.759056604850123,26.842567207284947
5303,INDUSTRY,"Educational services, and health care and social assistance",2011,1.759056604850123,26.842567207284947
2452,INDUSTRY,"Arts, entertainment, and recreation, and accommodation and food services",2011,1.759056604850123,26.842567207284947
1357,INDUSTRY,"Other services, except public administration",2011,1.759056604850123,26.842567207284947
1090,INDUSTRY,Public administration,2011,1.759056604850123,26.842567207284947
19279,INCOME,Total households,2011,1.759056604850123,26.842567207284947
1101,INCOME,"Less than $10,000",2011,1.759056604850123,26.842567207284947
1254,INCOME,"$10,000 to $14,999",2011,1.759056604850123,26.842567207284947
2712,INCOME,"$15,000 to $24,999",2011,1.759056604850123,26.842567207284947
2593,INCOME,"$25,000 to $34,999",2011,1.759056604850123,26.842567207284947
3441,INCOME,"$35,000 to $49,999",2011,1.759056604850123,26.842567207284947
3645,INCOME,"$50,000 to $74,999",2011,1.759056604850123,26.842567207284947
2370,INCOME,"$75,000 to $99,999",2011,1.759056604850123,26.842567207284947
1430,INCOME,"$100,000 to $149,999",2011,1.759056604850123,26.842567207284947
371,INCOME,"$150,000 to $199,999",2011,1.759056604850123,26.842567207284947
362,INCOME,"$200,000 or more",2011,1.759056604850123,26.842567207284947
42410,INCOME,Median household income (dollars),2011,1.759056604850123,26.842567207284947
56898,INCOME,Mean household income (dollars),2011,1.759056604850123,26.842567207284947
15645,INCOME,With earnings,2011,1.759056604850123,26.842567207284947
54886,INCOME,Mean earnings (dollars),2011,1.759056604850123,26.842567207284947
5747,INCOME,With Social Security,2011,1.759056604850123,26.842567207284947
16131,INCOME,Mean Social Security income (dollars),2011,1.759056604850123,26.842567207284947
2899,INCOME,With retirement income,2011,1.759056604850123,26.842567207284947
17059,INCOME,Mean retirement income (dollars),2011,1.759056604850123,26.842567207284947
612,INCOME,With Supplemental Security Income,2011,1.759056604850123,26.842567207284947
7983,INCOME,Mean Supplemental Security Income (dollars),2011,1.759056604850123,26.842567207284947
626,INCOME,With cash public assistance income,2011,1.759056604850123,26.842567207284947
2586,INCOME,Mean cash public assistance income (dollars),2011,1.759056604850123,26.842567207284947
1841,INCOME,With Food Stamp/SNAP benefits in the past 12 months,2011,1.759056604850123,26.842567207284947
11773,INCOME,Families,2011,1.759056604850123,26.842567207284947
561,INCOME,"Less than $10,000.1",2011,1.759056604850123,26.842567207284947
278,INCOME,"$10,000 to $14,999.1",2011,1.759056604850123,26.842567207284947
1137,INCOME,"$15,000 to $24,999.1",2011,1.759056604850123,26.842567207284947
1320,INCOME,"$25,000 to $34,999.1",2011,1.759056604850123,26.842567207284947
2072,INCOME,"$35,000 to $49,999.1",2011,1.759056604850123,26.842567207284947
2526,INCOME,"$50,000 to $74,999.1",2011,1.759056604850123,26.842567207284947
1996,INCOME,"$75,000 to $99,999.1",2011,1.759056604850123,26.842567207284947
1267,INCOME,"$100,000 to $149,999.1",2011,1.759056604850123,26.842567207284947
313,INCOME,"$150,000 to $199,999.1",2011,1.759056604850123,26.842567207284947
303,INCOME,"$200,000 or more.1",2011,1.759056604850123,26.842567207284947
54541,INCOME,Median family income (dollars),2011,1.759056604850123,26.842567207284947
68016,INCOME,Mean family income (dollars),2011,1.759056604850123,26.842567207284947
23825,INCOME,Per capita income (dollars),2011,1.759056604850123,26.842567207284947
7506,INCOME,Nonfamily households,2011,1.759056604850123,26.842567207284947
28700,INCOME,Median nonfamily income (dollars),2011,1.759056604850123,26.842567207284947
37500,INCOME,Mean nonfamily income (dollars),2011,1.759056604850123,26.842567207284947
25492,INCOME,Median earnings for workers (dollars),2011,1.759056604850123,26.842567207284947
38806,INCOME,"Median earnings for male full-time, year-round workers (dollars)",2011,1.759056604850123,26.842567207284947
28534,INCOME,"Median earnings for female full-time, year-round workers (dollars)",2011,1.759056604850123,26.842567207284947
24401,INDUSTRY,Civilian employed population 16 years and over,2012,0.9186215511280892,25.217599972521167
258,INDUSTRY,"Agriculture, forestry, fishing and hunting, and mining",2012,0.9186215511280892,25.217599972521167
1114,INDUSTRY,Construction,2012,0.9186215511280892,25.217599972521167
4610,INDUSTRY,Manufacturing,2012,0.9186215511280892,25.217599972521167
654,INDUSTRY,Wholesale trade,2012,0.9186215511280892,25.217599972521167
3339,INDUSTRY,Retail trade,2012,0.9186215511280892,25.217599972521167
991,INDUSTRY,"Transportation and warehousing, and utilities",2012,0.9186215511280892,25.217599972521167
443,INDUSTRY,Information,2012,0.9186215511280892,25.217599972521167
1110,INDUSTRY,"Finance and insurance, and real estate and rental and leasing",2012,0.9186215511280892,25.217599972521167
1790,INDUSTRY,"Professional, scientific, and management, and administrative and waste management services",2012,0.9186215511280892,25.217599972521167
5372,INDUSTRY,"Educational services, and health care and social assistance",2012,0.9186215511280892,25.217599972521167
2350,INDUSTRY,"Arts, entertainment, and recreation, and accommodation and food services",2012,0.9186215511280892,25.217599972521167
1467,INDUSTRY,"Other services, except public administration",2012,0.9186215511280892,25.217599972521167
903,INDUSTRY,Public administration,2012,0.9186215511280892,25.217599972521167
19050,INCOME,Total households,2012,0.9186215511280892,25.217599972521167
844,INCOME,"Less than $10,000",2012,0.9186215511280892,25.217599972521167
1353,INCOME,"$10,000 to $14,999",2012,0.9186215511280892,25.217599972521167
2622,INCOME,"$15,000 to $24,999",2012,0.9186215511280892,25.217599972521167
2438,INCOME,"$25,000 to $34,999",2012,0.9186215511280892,25.217599972521167
